Date,Description,Category,Amount
2024-01-01,Freelance Payment,Income,2631.13
2024-01-01,Lyft,Transport,-58.98
2024-01-01,McDonalds,Food,-182.5
2024-01-02,Freelance Payment,Income,1856.58
2024-01-02,McDonalds,Food,-53.62
2024-01-02,Dividends,Income,1001.56
2024-01-02,Salary,Income,1761.04
2024-01-02,Electricity Co,Bills,-9.5
2024-01-03,Walmart,Shopping,-92.82
2024-01-03,Water Works,Bills,-80.1
2024-01-03,Uber Eats,Food,-144.13
2024-01-04,Uber Eats,Food,-188.25
2024-01-04,Dominos,Food,-89.82
2024-01-04,Metro Ticket,Transport,-33.53
2024-01-05,Lyft,Transport,-6.64
2024-01-05,Phone Carrier,Bills,-99.39
2024-01-06,Dominos,Food,-178.48
2024-01-06,Uber Eats,Food,-187.38
2024-01-06,eBay,Shopping,-13.71
2024-01-06,Subway,Food,-13.32
2024-01-07,YouTube Premium,Entertainment,-190.06
2024-01-07,Electricity Co,Bills,-135.58
2024-01-07,Steam,Entertainment,-125.11
2024-01-08,Subway,Food,-95.74
2024-01-08,Freelance Payment,Income,2957.59
2024-01-08,Freelance Payment,Income,1400.6
2024-01-09,eBay,Shopping,-109.12
2024-01-09,Shell,Transport,-73.71
2024-01-09,Spotify,Entertainment,-115.95
2024-01-09,Dividends,Income,1226.66
2024-01-10,Salary,Income,930.39
2024-01-12,Target,Shopping,-65.32
2024-01-12,Walmart,Shopping,-37.51
2024-01-12,Electricity Co,Bills,-55.6
2024-01-12,Water Works,Bills,-182.25
2024-01-13,Salary,Income,630.34
2024-01-13,Internet ISP,Bills,-131.46
2024-01-14,Lyft,Transport,-173.88
2024-01-14,Freelance Payment,Income,792.91
2024-01-15,Netflix,Entertainment,-36.59
2024-01-15,eBay,Shopping,-155.84
2024-01-16,Water Works,Bills,-41.45
2024-01-16,Uber Eats,Food,-11.08
2024-01-16,Shell,Transport,-122.71
2024-01-16,McDonalds,Food,-159.38
2024-01-17,Uber Eats,Food,-100.37
2024-01-17,Metro Ticket,Transport,-8.71
2024-01-17,Steam,Entertainment,-29.59
2024-01-18,McDonalds,Food,-190.82
2024-01-18,Amazon,Shopping,-107.05
2024-01-18,eBay,Shopping,-161.28
2024-01-19,Uber,Transport,-183.52
2024-01-19,eBay,Shopping,-87.79
2024-01-19,Lyft,Transport,-11.65
2024-01-19,BP Petrol,Transport,-100.34
2024-01-19,Freelance Payment,Income,1164.17
2024-01-19,Electricity Co,Bills,-190.11
2024-01-20,Steam,Entertainment,-170.18
2024-01-20,Shell,Transport,-20.71
2024-01-21,Netflix,Entertainment,-64.31
2024-01-21,Metro Ticket,Transport,-98.97
2024-01-21,Target,Shopping,-78.11
2024-01-21,Walmart,Shopping,-178.05
2024-01-22,Netflix,Entertainment,-87.88
2024-01-22,Uber,Transport,-106.92
2024-01-23,Dividends,Income,703.76
2024-01-23,Freelance Payment,Income,2083.03
2024-01-23,BP Petrol,Transport,-41.89
2024-01-23,Netflix,Entertainment,-16.71
2024-01-24,Dominos,Food,-163.54
2024-01-24,McDonalds,Food,-143.99
2024-01-25,Internet ISP,Bills,-11.14
2024-01-25,BP Petrol,Transport,-171.94
2024-01-26,Phone Carrier,Bills,-100.39
2024-01-27,KFC,Food,-24.84
2024-01-27,Shell,Transport,-175.52
2024-01-27,Shell,Transport,-196.46
2024-01-27,Dividends,Income,2026.14
2024-01-28,Dominos,Food,-47.12
2024-01-28,Walmart,Shopping,-40.84
2024-01-29,Uber Eats,Food,-184.11
2024-01-29,Uber Eats,Food,-34.59
2024-01-30,KFC,Food,-83.49
2024-01-30,Shell,Transport,-50.97
2024-01-30,eBay,Shopping,-49.53
2024-01-31,Salary,Income,2433.18
2024-02-01,YouTube Premium,Entertainment,-112.78
2024-02-01,Uber,Transport,-148.84
2024-02-01,Uber Eats,Food,-88.34
2024-02-03,Salary,Income,1034.22
2024-02-04,Uber,Transport,-114.66
2024-02-04,Amazon,Shopping,-133.11
2024-02-04,Dividends,Income,2761.25
2024-02-05,Spotify,Entertainment,-47.2
2024-02-05,eBay,Shopping,-46.28
2024-02-05,Electricity Co,Bills,-27.42
2024-02-07,Steam,Entertainment,-192.66
2024-02-07,Netflix,Entertainment,-194.49
2024-02-07,Electricity Co,Bills,-33.52
2024-02-07,Salary,Income,1563.86
2024-02-08,Spotify,Entertainment,-145.93
2024-02-09,YouTube Premium,Entertainment,-21.0
2024-02-09,BP Petrol,Transport,-80.23
2024-02-10,Freelance Payment,Income,1318.52
2024-02-11,Electricity Co,Bills,-118.5
2024-02-11,Target,Shopping,-20.86
2024-02-11,Target,Shopping,-32.13
